"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
266,"Automotive","Welding Assistant (ARC)","Free","4:59 hours","Any","Any","NA","English","This course is aimed at training candidates for the job role of 'Welding Assistant (ARC)', in the 'Automotive' industry. It aims at building the following key competencies in learners by the end of the course: Describe the welding process. Use the parts and accessories of a welding machine for welding. Carry out Shielded Metal Arc Welding (SMAW). Use different tools for welding. Identify the different kinds of hazards a welder faces. State the properties of metals. Explain the use of electricity in welding. Perform different types of weld. Identify the different types of join. Describe the different welding positions. Prevent welding defects.","https://www.skillindiadigital.gov.in/courses/detail/56075317-4ee7-47e9-92d6-f20467f5557d",null,null,null,null,null,null,null,null,null
267,"IT-ITeS","Host web sites by using GitHub Pages","Free","01:12 hours","18+","12th Pass, ITI, Diploma","devops-engineer,administrator,developer,github,azure","English","Learn how to host your personal, organization, and project sites for free with GitHub Pages.","https://www.skillindiadigital.gov.in/courses/detail/51130cac-f4eb-4182-8c0c-387dcc8b8cdb",null,null,null,null,null,null,null,null,null
268,"IT-ITeS","Fundamentals of Azure AI Speech","Free","00:29 hours","Above 18","12th Pass, ITI, Diploma","solution-architect,azure,azure-sdks","English","Learn how to use Azure AI services to recognize and synthesize speech.","https://www.skillindiadigital.gov.in/courses/detail/f54c759c-ac1e-494f-a370-75356c71d8ed",null,null,null,null,null,null,null,null,null
269,"Tourism and Hospitality","Guest Service Associate (Housekeeping)","Free","07:00 hours","18","12th Pass","N/A","English","A guest service associate (housekeeping)  performs a range of housekeeping functions within an accommodation establishment to ensure the excellent delivery of services to guests.","https://www.skillindiadigital.gov.in/courses/detail/fd5c126f-af7d-40f1-8110-378c7cf64014",null,null,null,null,null,null,null,null,null
270,"IT-ITeS","Publish a Blazor WebAssembly app and .NET API with Azure Static Web Apps","Free","00:38 hours","18+","12th Pass, ITI, Diploma","developer,azure-functions,azure-app-service","English","Automatically deploy and update a Blazor web application and its API from a GitHub repository.","https://www.skillindiadigital.gov.in/courses/detail/0b8d8eac-36e6-4ebf-b0a3-1399649724b3",null,null,null,null,null,null,null,null,null
271,"IT-ITeS","Protect Endpoint Environment with Microsoft Intune","Free","00:19 hours","18+","12th Pass, ITI, Diploma","administrator,mem,m365","English","In this module, you'll learn about protecting devices, apps, and data. Additionally, you understand the endpoint environment and the supported platforms available with Microsoft Intune.","https://www.skillindiadigital.gov.in/courses/detail/1a933c4a-a21d-4ef5-bd80-e5438b580442",null,null,null,null,null,null,null,null,null
272,"IT-ITeS","Govern data from Azure databases with Microsoft Purview","Free","00:13 hours","18+","12th Pass, ITI, Diploma","administrator,data-engineer,solution-architect,sql-server,microsoft-purview","English","Microsoft Purview is a unified data governance service that helps you manage and govern your Azure SQL database data.","https://www.skillindiadigital.gov.in/courses/detail/d0d1f210-2fc7-40dc-8e96-8e64e7918e83",null,null,null,null,null,null,null,null,null
273,"Automotive","Welding Assistant (TIG)","Free","06:33 hours","Any","Any","NA","English","The individual in this role supports the Automotive Welding Machine Operator during preparation for welding work such as bringing raw material and tools, welding activities such as machine setup, aligning workpiece, holding tools etc. and post-welding activities such as cleaning and maintenance of machine and workarea.","https://www.skillindiadigital.gov.in/courses/detail/0b164a40-bda7-4b5f-9717-88c3dbc68df6",null,null,null,null,null,null,null,null,null
274,"IT-ITeS","Troubleshoot Inbound Network Connectivity for Azure Load Balancer","Free","01:38 hours","18+","12th Pass, ITI, Diploma","administrator,azure,azure-monitor,azure-load-balancer","English","Learn how to troubleshoot inbound network connectivity for Azure Load Balancer.","https://www.skillindiadigital.gov.in/courses/detail/14c58d5f-4ebd-4aa0-910b-b59a289ac192",null,null,null,null,null,null,null,null,null
275,"Banking, Financial Services & Insurance (BFSI)","Branch Banking Executive","Free","2:18 hours","Any","Any","NA","English","This course aims at building the following key competencies in the learners : - Explain the evolution of banking, macro environment, financial entities and financial regulators - Explain various terms related to banking, Negotiable Instruments Act - State the principles of banking, features of modern banking - Identify other instruments such as bills of exchange, promissory notes, demand drafts, and pay orders - Identify the targeted client segments and process their requests - Explain the various products and services, procedure for opening an account and how different departments coordinate with each other - Explain how core banking works, implications of KYC - State the do's and don'ts of cyber security during internet banking -State the implications of an accident or an unforeseen event -State the job responsibilities of the Teller, Customer Service Executive, Operations Executive and Sales Executive.","https://www.skillindiadigital.gov.in/courses/detail/3141a3ba-1c3c-46e8-a3c4-87adb60c3a1b",null,null,null,null,null,null,null,null,null
276,"Electronics","Field Technician Computing & Peripherals","Free","01:51 hours","18+","10th pass with 2 years experience or 12th pass","2 years NAC/NTC/ Relevant experience","English","A Field Technician -- Computing & Peripherals is responsible for visiting customer premises to install and carry out repair and maintenance of a desktop computer. The individual carries out installation and troubleshooting of computer peripherals also. The individual may also carry out installation, repair and maintenance of a laptop and relevant peripherals.","https://www.skillindiadigital.gov.in/courses/detail/abe6834b-9779-473a-ac24-ee83f8111550",null,null,null,null,null,null,null,null,null
277,"Agriculture","Kisan Drone Operator","Free","00:21 hours","Any","Any","NA","Hindi","A Kisan Drone Operator/pilot is  responsible for operating and  rendering the specific service  using the drone and relevant  technologies for agricultural and  allied activities. The individuals  operating the drone collect and  analyse different types of data for  enhancing productivity and  profitability while ensuring  sustainability and protection of the  land resources and where  applicable deploy the drone to undertake specific activities like  spray of Plant protection  chemicals / fertilizer or obtain  ground data for other related  activities. The individual is also  responsible for carrying out  regular maintenance of drone and  relevant equipment's.","https://www.skillindiadigital.gov.in/courses/detail/32d86c56-efc6-4c33-9c65-17901e296f8e",null,null,null,null,null,null,null,null,null
278,"Automotive","Electric Vehicle Service Lead Technician","Free","08:39 hours","18","I.T.I (Mechanic Motor Vehicle) OR I.T.I (Mechanic Auto Electrical and Electronics) OR Certificate-NSQF (Four Wheeler Service Technician/Automotive Electrician Level 4)","1 Year of experience in Automotive Service And LMV Driving Licence","English","An electric vehicle service lead technician is responsible for diagnosis and specialized repairs of mechanical, electrical and electronic faults in electric vehicles. The course is designed to help the learner understand and work on these areas.","https://www.skillindiadigital.gov.in/courses/detail/cb91c0e8-9af8-4ae2-b5e0-c1b6d5314e93",null,null,null,null,null,null,null,null,null
279,"Automotive","Bicycle Mechanic : Premium Electric Cycle","Free","60:00 hours","14","8th Class pass with 1 year of relevant experience OR 8th Class with ITI OR 10th Class pass","8th Class pass with 1 year of relevant experience OR 8th Class with ITI OR 10th Class pass","Hindi","The incumbent in the job role is responsible for the assembly, repair and maintenance of bicycles and e-bikes along with identifying problems and providing optimal solution to the customer.","https://www.skillindiadigital.gov.in/courses/detail/5a39b856-07f9-4bb7-b896-545c93c6eb6b",null,null,null,null,null,null,null,null,null
280,"Construction","Helper Shuttering Carpenter","Free","1:23 hours","Any","Any","NA","English","Helper Shuttering Carpenter needs to support Assistant Shuttering Carpenter in semi-skilled categories for carrying out the related works such as identification, handling, shifting and stacking of tools and materials. Also, preparation of job site and housekeeping. Helper shuttering carpenter expected to know basics of carpentry and carry out manual earth work and also know temporary scaffold works up to 3.6m height under close supervision as per instruction. Personal Attributes: The individual is expected to be physically fit and should be able to work across various locations in withstanding extreme conditions while working. The individual should be able to work within a team to handle various carpentry & scaffolding tools, materials, equipment and works under continuous instructions and close supervision.","https://www.skillindiadigital.gov.in/courses/detail/11f56126-79a7-4aa5-a1ca-df520a7543b6",null,null,null,null,null,null,null,null,null
281,"Construction","Helper Bar Bender & Steel Fixer - Hindi","Free","01:35 hours","Any","Any","NA","Hindi","This course aims at building the following key competencies in learners : Understand key concepts required for the job role of Helper Bar Bender & Steel Fixer. Describe basic calculations required in the bar bending trade, various elements related to engineering drawings and bar bending schedules Straighten, bend and cut bars manually and by using machines. Describe the features of various types of steel bars, their handling methods and requirements for their care. Identify the various tools, equipment, and machines used by Assistant Bar Benders. List the potential hazards, safety precautions, and first-aid measures.","https://www.skillindiadigital.gov.in/courses/detail/a34e842a-ecb8-4baa-a126-c75e0513d3a1",null,null,null,null,null,null,null,null,null
282,"Green Jobs","Agri-residue Aggregator","Free","10:33 hours","16","Ability to read and write","3 years of relevant experience","Hindi","Agri-residue Aggregator collects agri-residues from farmers (suppliers) through nodal collection points, assesses quality and quantity of agri-residues and accordingly decides price. He/she appropriately sorts, densifies and stores the bales. He/she also perform sales of the bales based on end requirements","https://www.skillindiadigital.gov.in/courses/detail/0ad859d1-e502-4c01-aa0c-3b575ab9c80d",null,null,null,null,null,null,null,null,null
283,"IT-ITeS","Application scalability on AKS with HorizontalPodAutoscalers","Free","00:10 hours","Above 18","12th Pass, ITI, Diploma","devops-engineer,azure,azure-kubernetes-service","English","Explore how to scale your deployed applications with HorizontalPodAutoscalers in AKS.","https://www.skillindiadigital.gov.in/courses/detail/466b7720-54d8-4362-9152-ceee2fc55c73",null,null,null,null,null,null,null,null,null
284,"Construction","Helper Bar Bender & Steel Fixer","Free","01:35 hours","Any","Any","NA","English","This course aims at building the following key competencies in learners : Understand key concepts required for the job role of Helper Bar Bender & Steel Fixer. Describe basic calculations required in the bar bending trade, various elements related to engineering drawings and bar bending schedules Straighten, bend and cut bars manually and by using machines. Describe the features of various types of steel bars, their handling methods and requirements for their care. Identify the various tools, equipment, and machines used by Assistant Bar Benders. List the potential hazards, safety precautions, and first-aid measures.","https://www.skillindiadigital.gov.in/courses/detail/9e03fe9d-9fa1-4a59-985a-ed0c776b7787",null,null,null,null,null,null,null,null,null
